Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
Maria,2009,2,3,210,14,1,3445,7.98723,7.05754,1.42811,84.665,14,Very Long,Teen,Small
Pandemic: Fall of Rome,2018,1,5,60,8,1,5880,7.62869,7.05618,1.14539,30.711428571428574,5,Short,Young,Large
The Godfather: Corleone's Empire,2017,2,5,90,14,0,7449,7.53,7.05391,1.32337,45.466,6,Moderate,Teen,Large
Sidereal Confluence,2017,4,9,180,14,4,4555,7.78251,7.05319,1.6201,42.78214285714286,6,Long,Teen,Massive
Saint Petersburg,2004,2,4,60,10,0,15827,7.27382,7.05204,1.3181,99.12375,19,Short,PreTeen,Small
Downforce,2017,2,6,40,10,3,13213,7.31552,7.05119,1.21103,29.454090909090908,6,Short,PreTeen,Large
Die Macher,1986,3,5,240,14,0,5714,7.59518,7.04998,1.57111,79.57571428571428,37,Very Long,Teen,Large
Summoner Wars (Second Edition),2021,2,2,60,9,4,3089,8.17417,7.04951,1.3441,42.9925,2,Short,PreTeen,Small
Evolution: Climate,2016,2,6,60,12,7,7785,7.50776,7.04847,1.30163,37.46115384615385,7,Short,PreTeen,Large
Schotten Totten,1999,2,2,20,8,0,10977,7.35376,7.04808,1.20087,17.745,24,Quick,Young,Small
Endeavor,2009,3,5,90,12,0,9473,7.3818,7.04542,1.22682,45.61346153846154,14,Moderate,PreTeen,Large
Project L,2020,1,4,40,8,2,7826,7.48438,7.04536,1.12395,60.57,3,Short,Young,Small
Smartphone Inc.,2018,1,5,90,12,1,5808,7.59242,7.04506,1.21469,47.721666666666664,5,Moderate,PreTeen,Large
King of Tokyo,2011,2,6,30,8,68,68677,7.13973,7.0407,1.32508,29.810714285714287,12,Quick,Young,Large
Here I Stand,2006,2,6,360,12,2,3864,7.88279,7.04013,1.76791,72.77666666666667,17,Marathon,PreTeen,Large
Ticket to Ride: Märklin,2006,2,5,60,8,3,9126,7.41134,7.03995,1.24732,99.42714285714285,17,Short,Young,Large
In the Year of the Dragon,2007,2,5,100,12,0,11892,7.3042,7.03626,1.35429,37.33772727272728,16,Long,PreTeen,Large
Bruxelles 1893,2013,2,5,125,13,0,5422,7.61528,7.03583,1.24698,53.0,10,Long,Teen,Large
London (Second Edition),2017,2,4,90,14,0,6653,7.51675,7.03378,1.17322,35.0,6,Moderate,Teen,Small
Azul: Stained Glass of Sintra,2018,2,4,45,8,1,12890,7.32019,7.03375,1.18894,22.999166666666667,5,Short,Young,Small
Tiny Towns,2019,1,6,60,14,6,18210,7.23857,7.03273,1.18662,28.87545454545455,4,Short,Teen,Large
Arkham Horror,2005,1,8,240,14,30,39046,7.2404,7.03252,1.70443,103.34922330097086,18,Very Long,Teen,Large
